Date,Followers,Followers_Change,Likes,Reposts,Replies,Profile_Clicks,Note_PV
2025-11-24,150,15,42,8,5,23,67
2025-11-25,165,15,38,6,4,19,52
2025-11-26,182,17,45,9,6,28,71
2025-11-27,195,13,41,7,5,22,63
2025-11-28,210,15,48,10,7,31,78
2025-11-29,228,18,52,11,8,35,82
2025-11-30,245,17,49,9,6,29,75
2025-12-01,263,18,55,12,9,38,89
2025-12-02,278,15,51,10,7,33,81
2025-12-03,295,17,58,13,10,41,94
2025-12-04,310,15,54,11,8,36,86
2025-12-05,328,18,61,14,11,44,98
2025-12-06,345,17,57,12,9,39,91
2025-12-07,362,17,63,15,12,47,103
2025-12-08,378,16,59,13,10,42,96
2025-12-09,395,17,65,16,13,50,108
2025-12-10,412,17,62,14,11,45,101
2025-12-11,430,18,68,17,14,53,112
2025-12-12,448,18,64,15,12,48,105
2025-12-13,467,19,71,18,15,56,118
2025-12-14,487,20,75,19,16,61,125
