"Text","Image URL","Tags","Posting Time"
"「良かれと思ってやったのに、否定されて傷ついていませんか？」




夫のために片付けたのに。
夫のために料理したのに。
返ってくるのは文句ばかり。

「ありがとう」の一言があれば、それだけで報われるのに。
私の優しさは、どこへ消えてしまうんだろう。
もう、何もしない方がいいのかな。

私の実体験はプロフの固定投稿へ。
#モラハラ予備軍 #言葉の暴力 #夫婦関係 #問題","","Day37","2025-12-29 07:03"
"おはようございます。
相手の不機嫌は、相手の問題。
あなたの価値とは関係ありません。
受け取らなくていいんです。
今日も無理せずいきましょう。","","Day37","2025-12-29 08:12"
"【質問】
パートナーから「ごめん」と素直に言われますか？

1. 言われる
2. 言い訳ばかり
3. 逆ギレされる

正直に教えてください🙋‍♀️","","Day37","2025-12-29 10:05"
"感謝されないと嘆く前に、自分から感謝の種をまきましょう。
どんな小さなことでもいい。
「ゴミ捨ててくれてありがとう」
「働いてくれてありがとう」

言葉は鏡です。
あなたが投げた言葉が、いつか返ってきます。
意地を張らずに、まずは自分から。




「素直になれない夫が変わる！『感謝の先出し』テクニック」
具体的な方法はNoteで公開中。
#夫婦円満 #感謝 #解決策","","Day37","2025-12-29 12:11"
"夫の脱ぎっぱなしの靴下。
拾いながら「ありがとう」なんて言えるか！
でも、心の中で「お疲れ」って思うくらいならできるかな。
これ、あるあるですよね。
共感したら「いいね」お願いします。","","Day37","2025-12-29 15:08"
"夕方のこの時間。
夫の好きなビールを買う。
「ありがとう」って言わせるための作戦。
小さな変化が大事です。","","Day37","2025-12-29 17:45"
"夫の言葉が冷たいと悩むあなたへ。

その冷たさは、甘えの裏返しもしれません。
「何を言っても許される」と思っている。
でも、あなたが温かい言葉を投げ続ければ、氷は少しずつ溶けていきます。
北風と太陽の話のように。




「素直になれない夫が変わる！『感謝の先出し』テクニック」
解決のための「3つのステップ」をNoteにまとめました。
▼記事はプロフのリンクから
#夜専用レス手前の会話レシピ","","Day37","2025-12-29 20:02"
"夜のリビング。
「お茶、ありがとう」
ボソッと言われた。
聞こえてるよ、その小さな声。
同じ気持ちの人、いますか？","","Day37","2025-12-29 21:15"
"今日もお疲れ様でした。
言葉一つで、世界は変わる。
優しい言葉を、お守りに。
おやすみなさい。","","Day37","2025-12-29 22:05"
"明日は今日より少しだけ、心が軽くなりますように。
温かい言葉が、飛び交いますように。
プロフの固定投稿もぜひ。
おやすみなさい。","","Day37","2025-12-29 23:11"
